binCapacity,id,wardID,binColor,binID,binCategory,binFullnessThreshold,location.coordinates,location.type,deviceInfo.rfID,deviceInfo.deviceID
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,29,Green,5103,Dustbin,80,"[82.98433, 25.281585]",Point,E200637C92CD103166166440,GBIN000411
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,58,Green,5104,Dustbin,80,"[82.999374, 25.328876]",Point,E200637C924031F16614DCC7,GBIN000413
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,28,Green,5106,Dustbin,80,"[83.005342, 25.329145]",Point,E200637C92C7147166164C51,GBIN000679
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,9,Green,5110,Dustbin,80,"[82.979772, 25.284234]",Point,E200637C920CECF166140FB3,GBIN000574
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,3,Green,52,Dustbin,80,"[82.988101, 25.318595]",Point,E200637C920FC23166141B08,GBIN000075
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,62,Green,53,Dustbin,80,"[82.992103, 25.308702]",Point,E200637C922CB33166148EDC,GBIN000017
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,19,Green,54,Dustbin,80,"[82.981229, 25.306191]",Point,E200637C9203FB716613E74D,GBIN000101
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,61,Green,55,Dustbin,80,"[82.996693, 25.319095]",Point,E200637C923406B16614AC1A,GBIN000116
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,32,Green,56,Dustbin,80,"[82.990525, 25.318666]",Point,E200637C929E2CF16615A8B3,GBIN000029
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,32,Green,57,Dustbin,80,"[82.990306, 25.319553]",Point,E200637C929D23716615A48D,GBIN000079
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,32,Green,58,Dustbin,80,"[82.988623, 25.318503]",Point,E200637C9210E87166141FA1,GBIN000044
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,41,Green,59,Dustbin,80,"[82.994124, 25.320975]",Point,E200637C923698716614B661,GBIN000103
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,41,Green,60,Dustbin,80,"[82.991244, 25.320683]",Point,E200637C920F7AB1661419EA,GBIN000040
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,3,Green,61,Dustbin,80,"[82.969808, 25.31597]",Point,E200637C9234F2716614AFC9,GBIN000110
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,9,Green,617,Dustbin,80,"[82.971494, 25.292868]",Point,E200637C92929B7166157A6D,GBIN000617
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,9,Green,618,Dustbin,80,"[82.971494, 25.292868]",Point,E200637C9225DDB166147376,GBIN000618
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,32,Green,62,Dustbin,80,"[82.989537, 25.318534]",Point,E200637C922BE43166148B90,GBIN000108
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,3,Green,63,Dustbin,80,"[82.973433, 25.317441]",Point,E200637C92BCC17166162335,GBIN000113
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,3,Green,64,Dustbin,80,"[82.969286, 25.317512]",Point,E200637C92452D716614F0B5,GBIN000026
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,32,Green,65,Dustbin,80,"[82.990678, 25.3168]",Point,E200637C920623316613F48C,GBIN000031
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,4,Green,652,Dustbin,80,"[82.974173, 25.309593]",Point,E200637C91B42A71661358A9,GBIN000652
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,19,Green,653,Dustbin,80,"[82.973851, 25.307546]",Point,E200637C9293B83166157EE0,GBIN000653
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,0,Green,654,Dustbin,80,"[82.970724, 25.305094]",Point,E200637C9205C0716613F301,GBIN000654
