id,currentLevel,measuredDistance,observationDateTime,referenceLevel
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.46,4.44,2022-05-03T11:15:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.44,4.46,2022-05-03T10:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.4,4.5,2022-05-03T10:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.4,4.5,2022-05-03T09:15:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.37,4.53,2022-05-03T09:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.47,4.43,2022-05-03T09:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.43,4.47,2022-05-03T10:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.44,4.46,2022-05-03T11:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.4,4.5,2022-05-01T08:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.38,4.52,2022-05-01T07:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.39,4.51,2022-05-01T08:15:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.37,4.53,2022-05-01T06:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.38,4.52,2022-05-01T07:00:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.41,4.49,2022-05-01T07:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.38,4.52,2022-05-01T08:45:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.39,4.51,2022-05-01T08:30:00+05:30,15.9
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR055,11.37,4.53,2022-05-01T07:15:00+05:30,15.9
