observationDateTime,currentLevel,referenceLevel,id,measuredDistance
2022-04-24T15:15:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-24T16:00:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T02:15:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T03:00:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T02:30:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T02:00:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T02:45:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T04:00:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T03:45:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T03:30:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T03:15:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T13:15:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T14:30:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T13:45:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T13:30:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T14:45:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T15:15:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T14:00:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T14:15:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-25T15:00:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-26T01:00:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-26T01:15:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-26T01:45:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-26T01:30:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-26T02:00:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-26T02:15:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-26T02:45:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-26T02:30:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-26T00:30:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-26T12:45:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-26T12:15:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
2022-04-26T13:45:00+05:30,0.0,0.0,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-flood/FWR035,0.0
